"","sub_num","run_num","file_name","trial_num","rt","response","t_direction","accuracy","target_position_1","target_position_2","target_position_3","target_position_4","target_location_type","target_number","trialTypeValid0Invalid1","trialTypeExtraTarget1NoExtraTarget0","extraTargetShapeNumber","extraTargetShapePosition","extraTargetShapeType"
"701",2,6,"Stimuli\scenes\mainScenes\pexels-curtis-adams-5900798.jpg",52,1613,"/?","R",1,1580,532,1685.6,637.6,3,11,0,1,14,3,2
"702",2,6,"Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-7061668.jpg",53,1196,"/?","R",1,500,758,605.6,863.6,2,4,0,0,0,0,0
"703",2,6,"Stimuli\scenes\mainScenes\pexels-curtis-adams-4839334.jpg",54,1717,"z","L",1,1398,496,1503.6,601.6,3,11,0,1,14,2,2
"704",2,6,"Stimuli\scenes\mainScenes\pexels-get-lost-mike-10450051.jpg",55,767,"z","L",1,1048,868,1153.6,973.6,2,5,0,0,0,0,0
"705",2,6,"Stimuli\scenes\mainScenes\pexels-mark-mccammon-1080721.jpg",56,1345,"z","L",1,408,214,513.6,319.6,1,14,0,1,11,2,3
"706",2,6,"Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-7061393.jpg",57,1595,"z","L",1,1562,118,1667.6,223.6,1,14,0,1,4,4,3
"707",2,6,"Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-7018399.jpg",58,1210,"/?","R",1,550,258,655.6,363.6,1,4,1,1,14,3,1
"708",2,6,"Stimuli\scenes\mainScenes\pexels-curtis-adams-15062154.jpg",59,1658,"/?","L",0,846,916,951.6,1021.6,2,5,0,1,4,1,3
"709",2,6,"Stimuli\scenes\mainScenes\pexels-curtis-adams-15062094.jpg",60,1154,"z","L",1,1230,578,1335.6,683.6,3,11,0,0,0,0,0
"710",2,7,"Stimuli\scenes\mainScenes\pexels-get-lost-mike-9993440.jpg",1,875,"z","L",1,860,678,965.6,783.6,2,4,0,1,5,1,3
"711",2,7,"Stimuli\scenes\mainScenes\pexels-get-lost-mike-8561916.jpg",2,1753,"z","L",1,1666,914,1771.6,1019.6,2,14,1,0,0,0,0
